"X","...1","s.gender","s.level","infect","read.amt","pre.readf1","pre.readf2","pre.readf3","pre.readf4","pre.readf5","pre.readf6","post.readf1","post.readf2","post.readf3","post.readf4","post.readf5","post.readf6","stress.1","stress.2","stress.3","stress.4","stress.5","stu.engage.1","stu.engage.2","stu.engage.3","stu.engage.4","stu.itcap","learn.per1","learn.per2","gpax.y1","gpax.y2","gender","t.exp","t.itcap","climate.pro.1","climate.pro.2","climate.pro.3","climate.pro.4","climate.pro.5","climate.pro.6","t.mode","location","internet","it.equip"
30,30,1,1,2,2,1,1,4,1,1,3,1,3,4,4,1,4,4,2,3,3,2,3,3,3,3,2,5.5,3.16,2.3,1.18,2,2,2,5,5,3,5,5,4,1,"C",2,0
31,31,1,1,2,3,1,1,4,1,1,4,1,3,4,4,1,4,3,2,2,2,1,3,3,3,5,2,13.7,12.73,2.53,2.24,2,1,2,1,1,2,1,1,1,1,"C",2,2
32,32,2,1,2,2,1,1,2,1,2,2,1,4,2,3,1,4,2,1,1,2,1,5,5,5,5,3,13.1,19.16,2.5,2.49,2,1,3,1,1,2,1,2,2,1,"C",2,2
33,33,2,1,2,3,2,1,4,1,1,1,1,3,2,4,1,4,2,2,3,2,1,5,5,5,5,3,9.7,18.99,2.59,2.58,2,1,3,4,3,3,4,5,5,1,"C",2,3
34,34,1,1,1,3,1,3,4,1,1,2,1,1,4,3,1,4,4,2,4,3,3,4,4,3,3,2,10.5,2.96,2.53,1.42,2,3,1,3,1,3,3,1,3,1,"C",2,1
35,35,2,1,2,1,1,1,3,1,1,2,1,1,4,2,1,4,1,1,1,1,1,5,5,5,5,3,13.2,19.03,2.84,2.83,2,2,2,5,4,3,5,5,5,1,"C",2,2
36,36,2,1,2,2,1,3,3,3,1,3,1,1,4,4,1,4,1,1,1,1,1,5,5,5,5,3,11,19.93,2.91,2.89,1,1,1,1,1,1,1,1,1,1,"C",2,3
37,37,1,1,2,3,1,3,3,4,1,4,1,2,4,3,1,4,2,1,2,2,1,5,4,4,5,3,13.5,19.02,3.25,3.15,1,2,2,4,3,3,4,4,4,1,"C",2,3
38,38,2,1,2,2,1,4,1,3,1,4,1,4,4,4,1,4,5,4,4,5,5,3,3,3,3,1,16.7,4.68,3.28,2.1,2,2,2,5,4,5,5,5,5,1,"C",2,1
39,39,2,1,2,2,1,1,3,3,1,3,1,2,4,3,1,4,5,5,5,5,5,3,2,3,3,1,16.2,0.18,3.33,1.88,1,3,1,3,1,3,1,1,1,1,"C",2,0
40,40,1,1,2,2,1,2,4,1,1,3,1,1,4,3,1,4,3,2,3,2,2,3,3,3,4,2,11.7,8.86,3.31,2.77,2,2,3,5,5,5,5,5,4,1,"C",2,1
41,41,1,1,1,2,1,2,4,1,1,1,1,4,4,4,1,4,4,2,4,4,3,3,1,2,2,1,8.1,6.1,2.4,1.54,1,1,3,3,1,3,4,4,2,1,"C",2,0
42,42,2,1,2,3,1,4,2,3,1,2,1,3,4,4,1,3,4,2,4,5,3,4,4,4,5,1,11.1,5.6,2.94,2.02,2,3,1,1,1,3,4,2,1,1,"C",2,0
