"X","...1","s.gender","s.level","infect","read.amt","pre.readf1","pre.readf2","pre.readf3","pre.readf4","pre.readf5","pre.readf6","post.readf1","post.readf2","post.readf3","post.readf4","post.readf5","post.readf6","stress.1","stress.2","stress.3","stress.4","stress.5","stu.engage.1","stu.engage.2","stu.engage.3","stu.engage.4","stu.itcap","learn.per1","learn.per2","gpax.y1","gpax.y2","gender","t.exp","t.itcap","climate.pro.1","climate.pro.2","climate.pro.3","climate.pro.4","climate.pro.5","climate.pro.6","t.mode","location","internet","it.equip"
124,124,1,1,1,3,1,4,1,1,1,2,1,3,4,4,1,4,4,2,3,3,2,3,1,1,1,1,12.6,2.09,3.26,2.09,2,3,1,1,1,2,1,1,1,1,"C",2,1
125,125,1,1,1,3,1,1,4,1,1,4,1,1,4,2,1,2,2,2,2,2,1,5,4,4,5,3,13.9,19.44,3.03,3,2,2,1,5,3,3,5,5,5,1,"C",2,0
126,126,2,1,2,3,1,3,1,2,1,2,1,1,4,4,1,4,4,2,3,4,2,5,4,4,5,2,13.4,6.65,2.53,1.72,2,3,1,3,1,2,3,2,2,1,"C",2,1
127,127,1,1,1,3,1,2,4,3,1,1,1,1,4,4,1,3,3,2,3,2,1,4,4,4,5,3,12.8,19.14,2.48,2.42,1,1,3,3,2,3,3,2,1,1,"C",2,2
128,128,1,1,2,1,1,1,4,1,1,1,1,3,4,3,1,4,3,2,3,2,1,3,4,4,3,2,13.5,14.18,2.88,2.48,2,3,1,4,3,3,1,2,2,1,"C",1,1
129,129,1,1,2,3,2,1,4,1,1,1,1,3,4,4,1,4,4,4,4,4,3,3,2,1,1,1,10.1,1.53,2.38,1.25,2,1,2,4,2,3,3,4,4,1,"C",2,0
130,130,2,1,2,3,1,3,4,3,1,4,1,2,4,3,1,4,4,2,4,3,3,5,4,4,5,2,17.2,13.29,3.3,3.04,2,2,1,4,3,3,4,2,5,1,"C",2,2
131,131,1,1,2,3,1,1,4,1,1,4,1,4,4,4,1,4,4,2,4,4,4,3,1,1,2,1,11.3,1.71,2.48,1.27,2,1,2,1,1,1,1,1,1,1,"C",2,2
132,132,2,1,2,3,1,2,1,1,1,1,1,4,4,4,1,3,3,2,3,2,2,5,5,5,5,2,14.6,17.09,3.2,3.16,2,3,1,1,1,3,1,1,1,1,"C",1,1
133,133,2,1,2,3,1,1,2,4,1,2,1,4,4,4,1,4,4,4,4,4,3,5,3,4,5,2,13,4.95,3.02,2.01,1,1,1,1,1,2,1,2,1,1,"C",2,1
134,134,1,1,2,3,1,4,4,1,1,2,1,1,4,4,3,4,4,4,4,4,3,3,1,2,2,1,11.3,2.96,2.92,2.01,1,2,3,3,1,3,3,2,1,1,"C",2,1
135,135,1,1,1,2,1,3,4,2,1,3,1,2,4,4,1,2,4,4,4,4,3,3,3,2,1,2,14.6,2.46,3.78,2.66,2,2,3,5,3,5,4,4,4,1,"C",2,1
136,136,2,1,2,3,1,4,2,1,1,4,1,3,4,3,1,4,3,2,4,3,2,5,4,4,5,2,8.8,13.01,2.32,1.94,1,2,3,4,3,3,4,5,4,1,"C",2,2
137,137,1,1,1,3,1,4,1,1,3,2,1,1,4,4,1,3,4,2,4,3,3,3,2,4,2,1,12.3,10.08,3.15,2.52,2,2,1,1,1,3,2,2,1,1,"C",2,1
138,138,1,1,2,3,1,3,4,4,1,1,1,1,4,4,1,4,4,4,4,5,4,2,1,1,1,1,11.4,4,2.33,1.44,1,2,3,4,3,5,5,5,5,1,"C",2,0
139,139,1,1,2,3,1,3,4,3,1,4,1,4,3,4,1,4,5,5,5,5,5,3,1,1,2,1,9.9,0.34,2.54,1.31,1,1,3,1,1,3,3,2,1,1,"C",2,1
140,140,1,1,2,3,1,3,3,1,1,4,1,4,4,4,1,3,1,1,1,1,1,5,5,4,5,3,15.3,19.46,2.66,2.6,2,2,1,4,2,3,3,2,4,1,"C",2,1
141,141,2,1,2,2,3,4,1,2,1,3,1,4,4,2,1,4,4,4,4,4,4,3,3,3,3,1,12.7,3.36,2.52,1.48,2,3,3,5,5,5,5,5,5,1,"C",2,1
142,142,2,1,1,3,1,1,1,4,1,2,1,1,4,4,1,4,4,4,4,4,4,4,4,4,4,1,12.7,4.32,2.39,1.39,2,3,1,3,1,3,3,2,2,1,"C",2,1
143,143,1,1,2,2,1,2,2,1,1,3,1,4,3,3,1,3,4,2,4,4,3,3,2,3,3,1,11.2,3.79,3.01,2.02,2,2,2,3,1,3,3,2,1,1,"C",2,0
144,144,1,1,1,3,1,1,4,1,1,2,1,4,4,4,1,3,1,1,2,2,1,5,4,4,5,3,15.5,19.37,3.05,2.99,2,3,1,3,1,3,2,2,1,1,"C",2,2
145,145,2,1,2,3,1,1,2,1,1,1,1,4,4,4,1,4,1,1,1,1,1,5,5,5,5,3,11.8,19.69,2.92,2.89,1,2,3,1,2,3,2,2,4,1,"C",2,3
146,146,2,1,2,2,1,4,3,4,1,4,1,3,4,4,1,4,1,1,1,1,1,5,5,5,5,3,9.2,19.72,2.67,2.67,2,3,1,1,1,3,2,4,1,1,"C",2,3
147,147,2,1,2,3,2,2,2,4,1,3,1,2,4,4,1,4,5,5,5,5,5,2,2,1,1,1,17.2,0.28,3.81,2.39,2,3,1,3,1,3,4,2,1,1,"C",2,0
148,148,1,1,2,3,1,2,3,1,1,1,1,1,4,4,1,4,3,2,3,2,1,3,4,3,3,2,16.1,15.02,3.49,3.46,2,2,1,4,3,3,4,5,5,1,"C",2,1
149,149,1,1,2,3,1,1,4,1,1,4,1,3,4,2,1,3,3,2,3,2,1,5,3,4,5,3,13.4,11.69,2.69,2.27,2,2,2,4,1,3,3,4,5,1,"C",2,1
150,150,1,1,1,3,3,4,4,1,1,4,1,3,4,4,1,4,1,1,1,1,1,5,5,5,5,3,12,19.96,2.7,2.68,2,2,1,4,3,3,3,4,1,1,"C",1,1
151,151,1,1,1,2,1,4,3,1,1,1,1,3,4,4,1,1,1,1,1,1,1,5,5,5,5,3,9.9,19.59,2.83,2.83,2,2,2,5,3,5,5,5,5,1,"C",1,2
152,152,1,1,2,3,1,1,3,1,1,4,1,3,4,4,1,4,4,2,4,4,3,2,1,1,1,1,10,2.77,2.6,1.48,1,2,3,3,3,3,3,4,4,1,"C",2,0
153,153,2,1,2,1,1,1,3,3,1,3,1,1,4,4,1,4,5,5,4,5,4,3,2,1,2,1,11.4,0.2,3.18,1.88,1,2,3,4,2,3,3,5,2,1,"C",2,0
154,154,1,1,2,2,1,2,4,1,2,2,1,2,4,4,1,4,3,2,3,3,2,3,2,3,2,2,10.7,9.8,2.85,2.23,1,1,2,1,1,1,1,1,1,1,"C",2,1
155,155,2,1,1,3,1,2,1,2,1,1,1,2,4,4,1,4,5,4,5,5,4,3,2,1,2,1,8.4,0.13,2.31,0.96,2,3,1,3,1,3,3,2,4,1,"C",2,0
156,156,1,1,2,2,1,2,4,2,1,2,1,2,4,2,1,4,2,2,3,2,1,5,4,5,5,3,14,19.26,2.99,2.95,2,2,3,5,5,5,5,5,5,1,"C",2,1
157,157,2,1,2,3,1,3,4,2,1,3,1,4,4,4,1,4,5,5,5,5,5,3,2,1,2,1,12.6,2.75,2.75,1.55,2,2,3,5,4,3,4,5,5,1,"C",2,0
158,158,2,1,2,3,1,4,2,4,1,1,1,1,4,2,2,4,4,2,3,3,2,5,4,4,5,2,10,17.15,2.22,2.21,1,1,3,1,1,3,1,1,1,1,"C",2,1
159,159,1,1,2,3,1,2,2,1,1,2,1,1,4,4,1,4,2,1,1,1,1,5,4,5,5,3,10,18.32,3.08,3.07,2,3,2,5,3,5,5,5,5,1,"C",2,1
160,160,1,1,2,3,1,3,2,2,1,1,1,2,4,4,1,4,4,3,4,5,4,3,1,2,1,1,11.6,3.15,2.93,1.78,1,1,2,1,1,1,1,1,1,1,"C",2,1
161,161,2,1,2,2,1,1,2,2,1,2,1,2,3,4,1,4,4,4,4,5,4,3,3,3,3,1,15.1,5.34,3.43,2.62,1,3,2,1,1,1,1,1,1,1,"C",2,0
162,162,2,1,2,2,1,1,1,3,1,4,1,2,3,4,1,4,2,1,1,1,1,5,5,5,5,3,13.2,19.49,3.64,3.57,2,2,3,5,5,5,5,5,5,1,"C",2,2
163,163,1,1,2,1,1,3,4,2,1,3,1,4,4,4,1,2,3,2,3,2,1,4,3,4,4,3,6.8,18.74,2.16,2.15,1,2,3,4,3,3,3,4,3,1,"C",2,2
164,164,1,1,1,4,2,4,4,2,1,1,1,2,4,4,1,4,1,1,1,1,1,5,5,5,5,3,13.4,19.89,3.25,3.19,2,1,1,3,1,3,3,2,1,1,"C",2,2
165,165,1,1,2,3,1,2,4,3,1,4,1,1,4,4,1,2,4,2,4,4,3,3,1,1,2,1,13.4,0.12,3.44,2.25,1,2,2,1,1,2,1,1,1,1,"C",1,0
166,166,2,1,2,2,1,1,4,4,1,2,1,1,3,4,1,4,5,5,4,5,4,3,3,4,3,1,13.3,0.62,3.32,2.08,1,2,2,1,1,1,1,2,1,1,"C",2,1
167,167,2,1,2,3,1,3,4,2,1,1,1,4,4,3,1,4,5,5,4,5,4,3,3,3,2,1,17.2,0.13,3.6,2.31,2,1,3,3,3,3,4,2,4,1,"C",2,1
168,168,2,1,2,3,1,2,2,2,1,3,1,2,4,4,1,4,1,1,1,1,1,5,5,5,5,3,11,19.98,2.45,2.4,2,3,3,4,3,3,4,5,4,1,"C",2,1
169,169,1,1,2,3,2,2,3,2,1,1,1,1,4,4,1,2,3,2,3,3,2,3,3,4,5,2,13.4,11.53,2.52,2.1,1,2,3,3,3,3,4,5,4,1,"C",2,1
170,170,1,1,2,3,1,2,4,1,1,2,1,3,4,4,1,4,3,2,3,2,1,5,4,4,5,3,10,19.28,2.55,2.54,1,3,2,1,1,1,1,1,1,1,"C",2,2
171,171,1,1,1,3,3,2,2,1,1,2,1,3,4,4,1,3,3,2,3,2,1,5,4,3,3,2,12.2,12.56,2.4,1.98,2,1,3,1,1,3,4,1,1,1,"C",2,1
172,172,2,1,2,3,1,2,1,1,1,4,1,1,2,4,1,4,3,2,4,4,3,5,4,3,4,2,10.2,7.34,2.56,1.84,2,2,2,5,4,5,5,5,5,1,"C",2,1
173,173,1,1,2,3,2,4,4,2,1,2,1,1,4,3,1,4,1,1,1,2,1,5,5,5,5,3,13.3,19.87,3.09,3.01,1,2,3,1,1,3,2,2,1,1,"C",2,2
174,174,1,1,2,3,1,1,4,1,1,1,1,3,4,2,1,4,3,2,4,4,3,3,3,1,2,1,13.9,5.76,2.8,1.81,2,2,3,4,3,5,5,5,5,1,"C",2,0
175,175,2,1,2,3,1,2,4,2,2,1,1,3,4,3,1,3,4,3,4,5,4,3,2,3,3,1,16.1,2.9,3.07,1.95,1,2,2,1,1,3,1,2,2,1,"C",2,0
176,176,2,1,2,3,1,3,1,4,1,1,1,3,4,4,1,4,3,2,3,3,3,5,4,4,5,2,11.1,16.81,3.03,2.91,2,2,2,5,3,5,5,5,5,1,"C",2,1
177,177,1,1,2,3,2,3,3,1,1,1,1,2,4,3,1,2,2,2,3,2,1,5,5,4,4,3,11.5,18.75,2.34,2.33,1,3,1,1,1,1,1,1,1,1,"C",2,2
178,178,1,1,1,3,3,3,3,1,1,3,1,4,4,2,1,3,2,1,1,1,1,5,5,4,5,3,8.7,17.05,1.62,1.52,2,2,3,5,3,3,4,5,4,1,"C",2,2
179,179,1,1,2,3,1,4,4,2,1,4,1,2,4,3,1,2,5,3,4,5,4,2,1,1,1,1,13.4,0.3,3.26,1.9,2,2,1,4,3,5,4,2,4,1,"C",2,1
180,180,2,1,2,3,1,1,1,4,2,3,1,4,4,4,3,4,1,1,1,1,1,5,5,5,5,3,8.1,19.93,2.1,2.1,2,1,1,1,1,1,1,1,1,1,"C",2,2
181,181,2,1,2,2,1,1,3,3,1,1,1,1,4,4,1,4,4,4,4,4,4,4,3,4,3,2,11.6,8.83,2.92,2.22,1,1,2,1,1,1,1,1,1,1,"C",2,1
182,182,1,1,1,3,1,4,4,2,1,2,1,4,4,3,1,1,3,2,3,2,3,3,4,4,5,2,17.2,7.88,2.9,2.26,2,2,2,4,3,3,3,4,4,1,"C",2,1
183,183,2,1,1,3,1,4,1,1,1,1,1,1,4,3,3,4,2,1,1,1,1,5,5,5,5,3,10.7,19.7,2.32,2.31,2,2,3,5,5,5,5,5,5,1,"C",1,1
184,184,1,1,2,3,1,1,4,3,1,1,1,3,4,3,1,2,4,3,4,4,3,3,2,1,1,1,15.9,1.49,3,1.78,2,2,2,5,5,5,5,5,5,1,"C",2,1
185,185,2,1,2,2,1,2,1,3,1,3,1,4,3,4,1,4,3,2,3,2,2,5,4,4,5,3,12.4,17.32,2.77,2.76,2,3,2,4,3,3,5,3,4,1,"C",2,2
186,186,2,1,2,3,1,4,1,3,1,1,2,1,4,4,1,4,4,2,4,4,3,5,4,3,5,2,9.8,14,2.51,2.23,2,2,3,5,5,5,5,5,5,1,"C",2,1
187,187,2,1,2,3,1,1,4,2,1,1,1,4,4,4,1,4,3,2,3,3,2,5,5,5,5,3,14.6,15.44,3,2.94,1,2,3,4,3,3,4,2,5,1,"C",2,1
188,188,1,1,2,3,1,1,4,1,1,1,1,3,4,4,1,4,2,1,1,1,1,5,5,5,5,3,8.8,18.96,2.41,2.41,2,3,3,5,5,5,4,5,4,1,"C",2,2
189,189,1,1,2,3,1,4,4,1,1,2,1,2,3,4,1,4,3,2,3,2,1,5,4,4,4,3,15.4,17.71,3.31,3.27,1,2,2,1,1,1,1,2,1,1,"C",2,1
190,190,2,1,2,3,1,1,1,1,1,2,1,1,4,4,2,4,4,2,4,4,3,5,5,4,5,3,15,13.3,3.51,3.01,1,1,2,1,1,1,1,1,1,1,"C",2,1
191,191,1,1,1,4,2,4,3,1,1,1,1,2,4,4,1,4,4,2,4,4,3,3,1,1,1,1,8.8,1.27,2.42,1.16,1,2,1,3,1,3,3,2,1,1,"C",2,2
192,192,2,1,2,3,1,3,2,2,1,4,1,3,4,3,1,4,3,2,2,1,1,5,5,5,5,3,13.3,18.29,2.79,2.77,2,2,2,5,5,5,5,5,5,1,"C",2,2
193,193,1,1,2,3,1,2,4,2,1,1,1,1,3,3,1,4,4,2,3,3,3,3,3,3,3,3,13.1,6.09,2.52,1.7,1,2,2,1,1,3,3,2,1,1,"C",2,1
194,194,1,1,2,3,1,3,4,1,1,1,1,2,4,4,1,4,3,2,3,2,1,5,5,5,5,3,10.9,19.86,2.82,2.81,1,2,3,4,4,3,4,5,4,1,"C",2,1
195,195,2,1,2,3,2,2,1,2,1,1,1,3,4,4,1,4,3,2,4,2,4,5,5,4,5,2,6.1,12.53,2.34,2.14,2,2,3,5,3,3,4,4,4,1,"C",2,2
196,196,1,1,2,3,1,3,3,2,1,2,1,3,4,4,1,4,3,2,3,2,1,3,3,3,5,3,15.4,11.47,2.66,2.19,1,1,1,1,1,1,1,1,1,1,"C",2,2
197,197,1,1,2,2,1,4,3,1,1,2,1,2,4,4,1,4,4,4,4,5,4,3,1,1,2,1,7.5,0.78,2.15,1.07,1,1,1,1,1,1,1,1,1,1,"C",2,1
198,198,1,1,2,3,1,3,4,1,2,1,1,4,4,2,2,4,1,1,1,1,1,5,5,4,5,3,11.4,19.14,3.05,3.04,1,1,3,1,1,2,1,1,1,1,"C",2,1
199,199,1,1,1,3,1,2,4,1,1,3,1,3,4,3,2,4,3,2,3,2,1,5,4,3,5,2,12.6,12.48,3.47,3.19,2,1,3,1,1,3,4,2,2,1,"C",2,2
200,200,1,1,2,3,1,3,4,1,1,4,1,4,4,4,1,4,3,2,3,2,2,5,4,3,3,2,12,16.02,2.14,2.02,1,1,2,1,1,3,3,1,1,1,"C",1,1
201,201,2,1,1,2,1,3,2,1,1,3,1,2,4,4,1,4,2,1,1,1,1,5,5,5,5,3,16,19.91,3.29,3.29,1,2,1,1,1,1,1,1,1,1,"C",2,2
202,202,1,1,1,4,1,2,3,1,1,3,1,1,4,4,1,4,1,1,1,1,1,5,5,5,5,3,6.7,19.86,2.65,2.63,1,2,2,1,3,3,3,2,4,1,"C",2,2
203,203,2,1,2,2,1,4,4,3,1,1,1,1,4,4,1,4,1,1,1,1,1,5,5,5,5,3,9.9,19.72,2.52,2.49,1,3,2,1,2,3,2,2,1,1,"C",1,2
204,204,1,1,2,3,1,1,2,1,1,2,1,1,4,4,1,4,4,2,4,4,4,3,2,3,3,2,17.3,6.02,2.82,1.94,2,3,1,3,2,3,2,2,1,1,"C",2,1
205,205,2,1,2,3,1,3,1,1,1,2,1,1,4,4,1,4,3,2,3,2,1,5,5,5,5,3,13.4,19.15,3.23,3.22,1,1,3,1,1,2,1,2,1,1,"C",2,2
206,206,1,1,2,2,1,2,2,3,1,2,1,3,4,4,1,4,1,1,1,1,1,5,5,5,5,3,14,19.39,2.88,2.87,2,1,1,1,1,1,1,1,1,1,"C",2,2
207,207,2,1,2,4,1,2,1,4,1,2,1,1,4,2,1,4,3,2,4,2,1,5,5,5,5,3,12.8,17.02,2.59,2.57,2,2,2,5,3,5,4,5,4,1,"C",2,2
208,208,1,1,2,3,1,3,3,1,1,3,2,3,4,4,1,4,3,2,3,2,2,3,3,3,3,3,13.7,8.87,2.5,1.75,2,2,3,5,5,5,5,5,5,1,"C",2,1
209,209,1,1,2,3,1,3,1,3,1,4,1,4,4,4,1,4,3,2,3,2,2,5,4,4,4,3,9.7,9.26,2.79,2.2,2,2,2,4,5,3,4,4,4,1,"C",2,1
210,210,2,1,2,4,1,4,1,2,1,4,1,4,4,4,1,4,5,5,4,5,5,3,2,3,3,1,13,4.54,3.13,2.03,2,3,1,3,3,3,3,2,4,1,"C",2,1
211,211,2,1,1,2,1,1,1,2,1,1,1,4,4,4,1,4,4,2,4,4,3,4,4,4,4,1,9,12.92,2.54,2.14,1,2,2,5,5,5,5,5,5,1,"C",2,0
212,212,1,1,2,3,1,1,4,1,4,1,1,3,4,4,1,3,2,2,2,2,1,5,4,4,5,3,15.6,17.22,3.42,3.33,2,2,3,5,5,5,5,5,5,1,"C",2,1
213,213,1,1,1,2,1,4,4,1,1,1,1,1,4,2,1,4,2,2,3,2,1,5,5,5,5,3,10.5,18.38,2.61,2.58,2,2,2,4,3,3,3,5,4,1,"C",2,1
214,214,2,1,2,3,2,4,4,3,1,2,1,1,4,4,1,4,5,5,5,5,5,3,3,3,4,1,14.4,0.4,3.03,1.7,2,1,2,3,2,2,1,2,1,1,"C",2,0
215,215,2,1,2,3,1,4,1,1,3,4,1,4,4,4,1,4,5,5,5,5,5,2,1,1,1,1,9.4,0.98,2.71,1.41,2,3,2,5,5,5,5,5,5,1,"C",2,1
216,216,2,1,2,2,1,2,2,4,1,3,1,4,4,2,2,4,4,2,4,4,3,5,4,5,5,3,19.3,7.55,3.37,2.69,1,1,2,1,1,1,1,1,1,1,"C",2,0
217,217,1,1,2,3,2,2,4,1,1,1,1,1,4,4,1,4,4,5,5,5,4,3,1,2,2,1,11.5,0.25,2.48,1.17,1,2,3,1,1,3,1,1,1,1,"C",2,1
218,218,1,1,1,3,1,1,4,3,1,1,2,4,4,4,1,2,3,2,3,2,1,5,4,4,5,3,10.5,12.72,2.52,2.33,2,1,2,1,2,2,3,2,2,1,"C",2,2
219,219,1,1,2,3,1,2,3,2,1,2,1,4,3,3,1,4,3,2,3,2,2,3,3,3,4,2,13.7,13.13,2.51,2.21,2,1,1,1,1,2,1,2,1,1,"C",2,2
220,220,2,1,2,3,2,3,1,1,1,1,1,1,4,4,1,4,5,5,5,5,5,1,1,1,1,1,16.3,0.87,3.67,2.35,2,3,2,5,5,5,5,5,5,1,"C",2,0
221,221,1,1,2,3,1,2,3,3,1,3,1,1,4,4,2,4,4,2,4,4,3,3,3,3,2,1,10.4,2.71,2.4,1.33,2,1,3,5,3,3,3,4,2,1,"C",2,0
222,222,1,1,2,3,1,2,4,1,1,1,1,3,4,4,1,4,3,2,3,2,2,3,2,4,4,2,13.3,9.08,2.79,2.3,1,1,3,1,1,1,1,1,1,1,"C",2,1
223,223,2,1,1,3,2,4,1,3,1,3,1,2,4,3,1,4,4,2,4,4,4,5,4,4,5,2,17.2,7.61,3.21,2.49,1,1,1,1,1,1,1,1,1,1,"C",2,0
224,224,1,1,2,3,1,3,2,1,2,3,1,2,4,4,1,4,3,2,4,4,4,3,1,1,2,1,10.8,2.59,2.54,1.52,1,2,3,3,3,3,4,4,1,1,"C",2,0
225,225,2,1,2,2,1,2,3,4,1,1,1,3,4,4,1,4,4,2,4,5,4,3,3,3,4,1,12.3,2.8,3.49,2.41,1,3,2,3,3,3,4,2,1,1,"C",2,1
226,226,1,1,2,3,1,2,1,1,1,1,1,4,3,4,1,3,1,1,1,1,1,5,5,5,5,3,14.9,19.9,2.52,2.51,2,1,2,4,1,3,4,4,4,1,"C",2,4
227,227,1,1,1,3,1,3,4,1,1,1,1,2,4,2,1,4,3,2,3,2,1,3,3,1,4,2,7.9,16.08,2.89,2.8,2,1,3,5,5,5,5,5,5,1,"C",2,1
228,228,1,1,1,3,1,4,3,1,1,1,1,1,4,4,1,1,3,2,3,3,2,3,3,4,4,2,16.5,8.52,3.05,2.47,2,2,1,4,3,3,3,2,2,1,"C",2,1
229,229,2,1,2,2,2,1,1,2,1,1,1,3,4,3,1,4,2,1,3,1,1,5,5,5,5,3,9.2,19.84,2.82,2.78,1,3,1,1,1,1,1,1,1,1,"C",1,2
230,230,1,1,1,3,1,4,4,1,1,2,1,3,2,4,1,4,3,2,3,2,1,3,4,3,3,2,11.5,9.99,2.71,2.18,2,3,1,5,5,5,5,5,5,1,"C",2,1
231,231,1,1,2,2,1,3,3,3,1,3,1,1,3,4,1,4,1,1,1,1,1,5,5,5,5,3,13.4,19.98,2.62,2.6,2,3,2,5,5,5,5,5,5,1,"C",2,2
232,232,1,1,1,3,1,2,3,1,2,3,1,1,4,3,1,4,4,2,4,4,3,3,2,1,2,2,7.6,1.99,1.98,0.87,2,2,3,5,5,5,5,5,5,1,"C",2,1
233,233,1,1,2,3,1,4,4,2,1,3,1,4,4,2,1,4,2,2,3,2,1,5,3,4,5,3,14.2,13.72,2.81,2.53,2,3,2,5,5,3,4,4,5,1,"C",2,1
234,234,2,1,2,2,1,2,2,2,1,2,1,1,2,4,1,4,3,2,3,2,1,5,4,5,5,3,18.8,17.23,3.4,3.21,2,3,1,4,2,3,4,2,4,1,"C",2,1
235,235,1,1,2,3,1,4,2,3,1,1,1,4,4,4,1,3,1,1,1,1,1,5,5,5,5,3,7.4,18.62,2.07,2.06,2,3,1,1,1,3,2,1,1,1,"C",2,1
236,236,2,1,2,3,2,3,1,3,1,2,1,4,4,2,1,4,2,1,1,1,1,5,5,5,5,3,11.7,19.66,2.77,2.74,2,2,1,4,2,3,4,5,5,1,"C",2,2
237,237,2,1,2,2,1,1,1,1,1,3,1,3,4,2,2,4,3,2,3,4,2,5,3,4,5,2,9.2,13.32,2.3,1.79,2,1,1,1,1,2,1,1,1,1,"C",2,2
238,238,2,1,1,4,1,1,2,1,2,2,1,3,4,2,1,4,3,2,3,3,3,5,5,4,5,2,15.2,14.97,2.98,2.84,1,3,2,1,1,2,3,2,1,1,"C",2,1
239,239,2,1,2,3,2,2,1,3,1,1,1,1,4,4,1,4,3,2,3,4,3,5,4,4,5,3,11.3,17.79,2.62,2.55,2,2,2,5,2,3,4,5,5,1,"C",2,1
240,240,1,1,2,3,1,1,1,1,1,1,1,1,4,3,1,2,4,2,4,4,3,4,3,3,2,2,12.6,9.73,2.32,1.71,2,1,2,4,3,3,4,4,1,1,"C",2,0
241,241,1,1,2,3,1,2,4,1,1,2,1,2,4,3,1,4,3,2,3,2,1,5,4,4,5,3,11.1,18.3,2.96,2.94,2,3,1,4,3,3,4,5,4,1,"C",2,1
242,242,1,1,1,3,1,2,4,1,1,1,1,2,4,3,1,4,1,1,1,1,1,5,5,5,5,3,8.9,18.42,2.67,2.64,2,2,3,5,5,5,5,5,5,1,"C",2,3
243,243,1,1,2,3,1,3,4,1,1,1,1,3,4,2,1,2,3,2,3,2,1,4,3,3,4,2,12.6,10.74,2.66,2.27,2,3,1,3,2,3,4,2,2,1,"C",2,1
244,244,2,1,2,3,1,4,2,3,1,1,1,4,4,4,1,4,4,2,4,3,3,5,4,4,5,2,9.9,16.24,2.95,2.88,2,1,2,1,2,3,3,2,3,1,"C",2,1
245,245,2,1,1,3,3,2,2,3,1,2,1,3,4,4,1,4,5,5,4,5,4,3,3,3,2,1,13.9,3.35,2.29,1.16,1,2,2,1,1,2,1,1,1,1,"C",2,0
246,246,1,1,2,3,1,4,3,1,1,2,2,1,4,4,1,3,3,2,4,3,3,3,3,3,3,3,10.6,2.26,2.84,1.75,2,2,2,4,3,3,3,5,4,1,"C",2,0
247,247,1,1,1,2,1,1,2,1,1,2,1,4,4,4,1,4,2,2,1,1,1,5,5,4,5,3,9.3,19.46,2.55,2.52,1,1,2,1,1,1,1,1,1,1,"C",2,3
248,248,2,1,2,3,2,2,3,1,1,2,1,4,4,4,1,4,4,5,4,5,4,5,3,3,5,1,11.2,1.61,2.49,1.23,2,3,1,3,2,3,3,2,4,1,"C",2,1
249,249,2,1,2,3,1,1,1,2,1,2,1,1,4,4,1,2,4,2,4,4,3,3,4,4,4,2,8,6.56,1.78,0.9,1,2,3,4,3,3,3,2,1,1,"C",2,2
250,250,1,1,2,2,2,2,4,1,1,2,1,3,4,4,1,3,3,2,3,2,1,5,4,4,5,3,11,18.04,2.68,2.68,1,2,1,1,1,1,1,1,1,1,"C",2,1
251,251,2,1,2,2,1,1,2,3,2,1,1,4,4,4,1,4,4,2,3,4,3,4,4,4,5,1,13.2,12.25,3.21,2.82,1,3,3,5,3,3,4,5,5,1,"C",2,1
252,252,1,1,2,3,1,3,3,1,1,4,1,2,4,3,1,2,3,2,4,2,1,3,4,3,5,3,15.8,11.54,3.43,3.03,2,1,3,3,2,3,4,4,2,1,"C",2,0
253,253,2,1,1,3,3,2,1,3,1,2,1,3,4,3,1,4,3,2,3,2,1,5,4,5,5,3,18.6,12.94,3.25,2.94,2,3,2,5,5,5,5,5,5,1,"C",2,2
254,254,2,1,2,3,1,1,1,3,1,1,1,3,4,4,1,4,4,2,3,4,3,4,4,4,4,1,11.3,7.77,2.71,1.95,2,2,1,1,1,1,1,1,1,1,"C",2,1
255,255,1,1,1,2,1,3,3,1,1,3,1,3,4,2,1,4,5,5,5,5,4,2,1,1,1,1,17.9,0.05,3.3,1.96,1,2,2,3,1,1,3,2,1,1,"C",2,0
256,256,1,1,2,3,1,2,2,1,1,2,1,2,4,4,1,4,3,2,4,3,3,3,4,4,3,2,15.4,9.27,2.66,2.07,2,3,1,1,1,3,2,1,1,1,"C",2,1
257,257,2,1,2,3,1,1,2,4,1,2,1,1,4,4,1,4,4,3,4,4,3,5,4,4,4,1,7.5,11.07,2.56,1.9,1,2,1,1,1,2,1,1,1,1,"C",2,1
258,258,1,1,2,3,1,2,4,1,1,1,1,2,4,4,1,4,3,2,3,3,3,3,3,4,2,2,15.9,11.36,2.88,2.42,1,2,3,3,1,3,2,2,1,1,"C",2,1
259,259,1,1,2,3,1,1,4,2,1,3,1,3,4,4,1,1,3,2,3,2,1,5,4,4,4,3,11.2,17.2,2.98,2.9,1,2,3,3,3,3,4,3,2,1,"C",2,2
260,260,1,1,2,3,1,3,1,4,1,4,1,3,3,4,1,4,1,1,1,1,1,5,5,4,5,3,14.3,18.57,2.87,2.86,2,1,2,3,2,3,3,4,4,1,"C",2,2
261,261,1,1,2,3,1,4,4,1,1,3,1,3,3,4,1,1,1,1,1,1,1,5,5,5,5,3,11.2,19.86,3.09,3.03,1,1,3,1,1,2,1,1,1,1,"C",1,2
262,262,1,1,2,2,1,4,4,1,1,2,1,3,4,4,1,4,4,2,4,4,3,3,2,3,2,1,7.3,2.21,2.4,1.23,2,2,1,3,1,3,3,5,1,1,"C",2,0
